nthreads,time1,time2,time3,time4,time5
1,2,0.55,0.58,0.37,0.44,0.57
1,4,0.28,0.28,0.29,0.29,0.28
1,8,0.14,0.16,0.15,0.15,0.17
1,16,0.09,0.08,0.09,0.10,0.08
1,32,0.06,0.09,0.06,0.07,0.06
1,64,0.05,0.06,0.06,0.05,0.05
2,2,3.02,1.93,0.52,1.16,3.61
2,4,0.29,1.88,2.03,2.32,0.29
2,8,2.84,2.27,2.46,2.77,2.57
2,16,2.89,3.72,3.22,3.04,2.25
2,32,4.02,3.61,3.13,3.08,3.29
2,64,3.15,5.48,3.21,2.28,4.72
3,2,0.55,0.96,0.54,1.00,0.49
3,4,0.28,0.30,0.32,0.30,0.39
3,8,0.15,0.16,0.25,0.24,0.14
3,16,0.18,0.15,0.15,0.11,0.10
3,32,0.21,0.20,0.17,0.13,0.14
3,64,0.82,0.86,0.70,0.92,0.77

