nthreads,time1,time2,time3,time4,time5
1,2,0.12,0.11,0.12,0.11,0.10
1,4,0.33,0.28,0.33,0.32,0.31
1,8,0.38,0.33,0.36,0.38,0.41
1,16,0.55,0.61,0.51,0.55,0.59
1,32,1.04,1.08,1.09,1.11,1.09
1,64,2.14,2.06,2.06,2.07,2.10
2,2,0.11,0.09,0.10,0.11,0.08
2,4,0.27,0.26,0.22,0.23,0.21
2,8,0.43,0.55,0.49,0.49,0.48
2,16,0.59,0.59,0.60,0.56,0.61
2,32,1.04,1.00,0.99,1.06,1.04
2,64,1.14,1.20,1.10,1.16,1.25
3,2,0.15,0.16,0.14,0.14,0.18
3,4,0.29,0.40,0.37,0.28,0.45
3,8,0.90,0.87,1.07,0.88,1.00
3,16,1.84,2.06,1.81,1.79,2.15
3,32,4.43,4.85,5.34,5.31,5.06
3,64,11.39,14.44,11.84,10.65,13.02

