nthreads,time1,time2,time3,time4,time5
1,2,0.12,0.11,0.11,0.11,0.11
1,4,0.05,0.05,0.05,0.05,0.05
1,8,0.04,0.03,0.02,0.02,0.02
1,16,0.01,0.01,0.01,0.01,0.01
1,32,0.09,0.02,0.02,0.01,0.02
1,64,0.02,0.11,0.01,0.02,0.02
2,2,0.17,0.11,0.11,0.11,0.11
2,4,0.10,0.10,0.05,0.13,0.05
2,8,0.11,0.10,0.07,0.07,0.07
2,16,0.06,0.06,0.07,0.07,0.06
2,32,0.08,0.07,0.14,0.07,0.07
2,64,0.26,0.11,0.18,0.19,0.32
3,2,0.11,0.11,0.11,0.11,0.16
3,4,0.05,0.05,0.07,0.07,0.05
3,8,0.02,0.08,0.03,0.10,0.06
3,16,0.02,0.01,0.01,0.01,0.02
3,32,0.03,0.09,0.06,0.02,0.05
3,64,0.09,0.15,0.32,0.17,0.15

