nthreads,time1,time2,time3,time4,time5
2,2,0.10,0.06,0.06,0.05,0.05
nthreads,time1,time2,time3,time4,time5
2,2,0.10,0.06,0.06,0.05,0.05
2,4,0.12,0.10,0.10,0.16,0.11
2,8,0.22,0.19,0.20,0.19,0.19
2,16nthreads,time1,time2,time3,time4,time5
2,2,0.19,0.11,0.13,0.12,0.12
2,4,0.35,0.26,0.30,0.25,0.25
2,8,0.82,0.89,0.81,0.83,0.90
2,16,2.58,3.03,2.61,2.38,2.26
2,32,6.51,7.37,5.90,6.20,7.62
2,64,29.76,29.34,27.18,20.38,25.52
nthreads,time1,time2,time3,time4,time5
2,2nthreads,time1,time2,time3,time4,time5
2,2,0.17,0.09,0.08,0.08,0.07
2,4,0.18,0.14,0.15,0.14,0.14
2,8,0.32,0.26,0.28,0.26,0.26
2,16,0.57,0.52,0.52,0.52,0.55
2,32,1.12,1.19,1.05,1.09,1.03
2,64,2.09,2.06,2.12,2.09,2.05
